geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000138772,ENSG00000138772.12,5.11250844,1.787031067,3.451039693,3.04E-44,9.43E-40,4.15E-39,ANXA3
ENSG00000187554,ENSG00000187554.11,5.148594832,1.195036128,2.289505654,1.64E-43,2.55E-39,4.18E-38,TLR5
ENSG00000029153,ENSG00000029153.14,1.121331381,1.27117234,2.41357614,1.51E-42,1.56E-38,4.23E-37,BMAL2
ENSG00000091436,ENSG00000091436.16,5.082958485,0.842175322,1.792751248,1.51E-41,1.17E-37,3.41E-35,MAP3K20
ENSG00000157168,ENSG00000157168.18,3.034954436,2.191991012,4.569356521,1.11E-39,6.92E-36,5.00E-34,NRG1
ENSG00000118113,ENSG00000118113.11,2.501282514,2.761361066,6.780356201,1.72E-38,8.92E-35,4.58E-33,MMP8
ENSG00000163221,ENSG00000163221.8,5.971046239,1.517815366,2.863570984,2.44E-37,1.00E-33,4.58E-33,S100A12
ENSG00000265531,ENSG00000265531.3,1.029953113,1.958378372,3.886249086,3.12E-37,1.21E-33,9.31E-33,FCGR1CP
ENSG00000163754,ENSG00000163754.17,5.049773288,0.641299723,1.559733689,6.12E-37,2.11E-33,6.51E-31,GYG1
ENSG00000005302,ENSG00000005302.17,6.342499661,0.441427962,1.357947743,2.16E-35,6.70E-32,1.78E-29,MSL3
ENSG00000096063,ENSG00000096063.15,6.693237733,0.79260902,1.73220421,5.94E-34,1.68E-30,3.52E-29,SRPK1
ENSG00000143771,ENSG00000143771.11,5.475881027,0.500003012,1.414216515,4.69E-33,1.10E-29,7.56E-29,CNIH4
ENSG00000198019,ENSG00000198019.12,3.894985506,1.429106365,2.692798663,1.73E-33,4.47E-30,7.56E-29,FCGR1BP
ENSG00000134755,ENSG00000134755.14,5.421243704,1.507584285,2.843335392,1.56E-32,3.23E-29,2.64E-28,DSC2
ENSG00000197006,ENSG00000197006.13,7.165000433,0.768004036,1.702912179,6.60E-33,1.46E-29,2.64E-28,METTL9
ENSG00000091129,ENSG00000091129.19,0.378786953,-2.008404724,0.248547806,3.35E-31,5.51E-28,3.37E-27,NRCAM
ENSG00000154165,ENSG00000154165.4,2.604004223,1.920973415,3.786784745,2.36E-32,4.59E-29,3.37E-27,GPR15
ENSG00000183019,ENSG00000183019.7,1.28846566,1.402085354,2.642833164,3.21E-31,5.32E-28,3.37E-27,MCEMP1
ENSG00000026508,ENSG00000026508.17,8.651263641,0.398097759,1.317769242,3.49E-31,5.71E-28,2.88E-26,CD44
ENSG00000163171,ENSG00000163171.7,7.587391288,0.599346287,1.515029921,1.28E-30,1.98E-27,9.18E-26,CDC42EP3
ENSG00000198734,ENSG00000198734.10,6.299235679,0.937517756,1.915230133,4.23E-30,6.26E-27,4.71E-25,F5
ENSG00000078589,ENSG00000078589.12,5.382987584,-0.627459702,0.647315206,7.30E-29,9.68E-26,1.17E-24,P2RY10
ENSG00000150337,ENSG00000150337.13,3.663289845,1.499540961,2.827527315,1.30E-28,1.62E-25,1.17E-24,FCGR1A
ENSG00000206199,ENSG00000206199.10,1.687446673,-1.279731737,0.411872088,1.94E-29,2.74E-26,1.17E-24,ANKUB1
ENSG00000157800,ENSG00000157800.17,5.620566454,0.724544551,1.652378909,1.32E-28,1.65E-25,2.87E-24,SLC37A3
ENSG00000143546,ENSG00000143546.9,8.265275146,1.450440247,2.732914352,2.25E-28,2.69E-25,1.93E-23,S100A8
ENSG00000006715,ENSG00000006715.15,7.007743538,-0.316069618,0.803255234,6.18E-27,5.92E-24,3.04E-23,VPS41
ENSG00000023909,ENSG00000023909.9,4.528848506,0.531099729,1.445030285,5.98E-27,5.76E-24,3.04E-23,GCLM
ENSG00000112053,ENSG00000112053.13,3.193392952,1.376604182,2.596564714,4.04E-27,4.15E-24,3.04E-23,SLC26A8
ENSG00000182389,ENSG00000182389.19,4.028448529,-1.209519488,0.432412613,8.45E-28,9.72E-25,3.04E-23,CACNB4
ENSG00000183625,ENSG00000183625.14,5.320459629,-1.238078687,0.423936859,3.72E-27,3.86E-24,3.04E-23,CCR3
ENSG00000198363,ENSG00000198363.17,6.496197617,0.818554512,1.763638054,6.00E-27,5.77E-24,3.04E-23,ASPH
ENSG00000183762,ENSG00000183762.12,4.721314677,1.557321246,2.943068754,6.72E-27,6.32E-24,3.56E-23,KREMEN1
ENSG00000151136,ENSG00000151136.14,4.358241,-0.748127067,0.595375984,1.03E-26,9.14E-24,7.13E-23,ABTB3
ENSG00000257017,ENSG00000257017.8,1.423032426,1.77940073,3.432835511,7.87E-27,7.19E-24,7.13E-23,HP
ENSG00000171606,ENSG00000171606.17,6.09314427,-0.33073827,0.795129488,1.78E-26,1.48E-23,1.19E-22,ZNF274
ENSG00000268170,ENSG00000268170.2,2.730959311,1.316822449,2.491168227,1.25E-26,1.07E-23,1.19E-22,
ENSG00000151012,ENSG00000151012.13,1.907219758,1.025941839,2.036288307,4.01E-26,3.05E-23,2.19E-22,SLC7A11
ENSG00000173391,ENSG00000173391.8,0.359873167,1.874725596,3.667318574,2.01E-26,1.64E-23,2.19E-22,OLR1
ENSG00000182749,ENSG00000182749.5,3.146979906,-0.743791115,0.59716805,3.25E-26,2.54E-23,2.19E-22,PAQR7
ENSG00000179104,ENSG00000179104.8,4.813645533,0.525996402,1.439927727,4.13E-26,3.13E-23,2.81E-21,TMTC2
ENSG00000122986,ENSG00000122986.13,5.82299865,-0.588510522,0.665029147,1.32E-25,9.73E-23,5.02E-21,HVCN1
ENSG00000092200,ENSG00000092200.12,3.512890441,-0.947095283,0.518675711,2.93E-25,2.12E-22,5.54E-21,RPGRIP1
ENSG00000134851,ENSG00000134851.12,6.562011029,0.41720242,1.335335647,5.25E-25,3.68E-22,5.54E-21,TMEM165
ENSG00000136810,ENSG00000136810.12,4.683700168,0.803763795,1.745649353,8.77E-25,5.89E-22,5.54E-21,TXN
ENSG00000274173,ENSG00000274173.1,1.417426556,1.839182401,3.578071956,8.89E-25,5.96E-22,5.54E-21,LINC02967
ENSG00000146122,ENSG00000146122.16,1.934333454,-2.251962758,0.209938293,1.28E-24,8.23E-22,6.42E-21,DAAM2
ENSG00000173825,ENSG00000173825.6,2.924385902,-1.048172862,0.483580219,1.01E-24,6.66E-22,6.42E-21,TIGD3
ENSG00000179869,ENSG00000179869.14,3.89284698,1.809856061,3.506073063,2.25E-24,1.38E-21,1.64E-20,ABCA13
ENSG00000223725,ENSG00000223725.6,1.787858148,-0.936066645,0.522655905,2.66E-24,1.61E-21,1.64E-20,
ENSG00000253250,ENSG00000253250.2,1.040035202,0.977922847,1.96962755,1.42E-24,9.00E-22,1.64E-20,C8orf88
ENSG00000283646,ENSG00000283646.1,0.920768274,1.754544022,3.374196568,3.01E-24,1.80E-21,8.71E-20,LINC02009
ENSG00000055732,ENSG00000055732.12,0.350147318,1.308890563,2.477509454,1.31E-23,7.34E-21,1.01E-19,MCOLN3
ENSG00000113368,ENSG00000113368.11,5.780096486,0.793913056,1.733770638,1.59E-23,8.81E-21,1.01E-19,LMNB1
ENSG00000124107,ENSG00000124107.5,2.941418088,1.468132435,2.766635215,1.88E-23,1.03E-20,1.01E-19,SLPI
ENSG00000258819,ENSG00000258819.1,4.234048876,-1.406953186,0.377107256,5.81E-24,3.41E-21,1.01E-19,LINC02289
ENSG00000128512,ENSG00000128512.20,5.710114416,1.101346643,2.145548693,1.89E-23,1.03E-20,1.55E-19,DOCK4
ENSG00000135525,ENSG00000135525.18,2.077425088,-0.881338484,0.542863547,3.25E-23,1.69E-20,1.55E-19,MAP7
ENSG00000158089,ENSG00000158089.14,2.527883061,1.3681203,2.581340219,2.52E-23,1.34E-20,1.55E-19,GALNT14
ENSG00000164125,ENSG00000164125.15,5.961723157,0.778314899,1.715126395,3.38E-23,1.75E-20,4.45E-19,GASK1B
ENSG00000198771,ENSG00000198771.10,8.311100357,-0.407959744,0.753688485,5.81E-23,2.93E-20,4.45E-19,RCSD1
ENSG00000173914,ENSG00000173914.11,4.003794433,-0.310173629,0.806544686,9.85E-23,4.78E-20,5.74E-19,RBM4B
ENSG00000198894,ENSG00000198894.7,4.290311991,-0.339037227,0.790568717,6.24E-23,3.13E-20,5.74E-19,CIPC
ENSG00000011201,ENSG00000011201.11,-1.22513487,1.223329482,2.334849374,2.56E-22,1.19E-19,1.65E-18,ANOS1
ENSG00000163220,ENSG00000163220.10,11.49959481,0.933977372,1.910535906,9.94E-23,4.83E-20,1.65E-18,S100A9
ENSG00000280832,ENSG00000280832.1,3.79259399,0.938818749,1.916958028,2.53E-22,1.17E-19,1.65E-18,GSEC
ENSG00000111145,ENSG00000111145.7,4.72138289,0.363998613,1.28698801,4.65E-22,2.07E-19,2.25E-18,ELK3
ENSG00000146373,ENSG00000146373.16,3.704126943,0.64960607,1.568739791,3.88E-22,1.75E-19,2.25E-18,RNF217
ENSG00000160179,ENSG00000160179.18,5.432524259,-1.022435962,0.492284438,2.59E-22,1.20E-19,2.25E-18,ABCG1
ENSG00000112062,ENSG00000112062.10,8.840197844,0.585711863,1.50077933,4.76E-22,2.11E-19,1.17E-17,MAPK14
ENSG00000165434,ENSG00000165434.7,4.667229668,0.649631272,1.568767195,1.21E-21,5.24E-19,1.17E-17,PGM2L1
ENSG00000253276,ENSG00000253276.2,4.921244694,0.577902951,1.492677969,2.28E-21,9.47E-19,1.17E-17,CCDC71L
ENSG00000257743,ENSG00000257743.8,4.525797103,1.223804782,2.335618723,2.13E-21,8.88E-19,1.17E-17,MGAM2
ENSG00000279320,ENSG00000279320.1,2.690151617,0.984388024,1.978473887,1.35E-21,5.79E-19,1.17E-17,
ENSG00000068305,ENSG00000068305.17,6.335762088,0.397202019,1.31695132,3.46E-21,1.41E-18,2.49E-17,MEF2A
ENSG00000184557,ENSG00000184557.4,5.475916639,0.993901325,1.991563285,2.37E-21,9.80E-19,2.49E-17,SOCS3
ENSG00000132357,ENSG00000132357.13,4.360601391,0.554179785,1.468333604,5.92E-21,2.32E-18,2.58E-17,CARD6
ENSG00000145354,ENSG00000145354.9,4.984902032,1.026892153,2.037630066,3.97E-21,1.60E-18,2.58E-17,CISD2
ENSG00000243273,ENSG00000243273.1,-0.756475547,1.194268881,2.288288384,5.63E-21,2.21E-18,2.58E-17,
ENSG00000096006,ENSG00000096006.11,1.872910866,1.682930447,3.210794756,6.46E-21,2.51E-18,3.71E-17,CRISP3
ENSG00000120217,ENSG00000120217.13,4.338387481,1.010260856,2.014275272,8.85E-21,3.35E-18,4.73E-17,CD274
ENSG00000136875,ENSG00000136875.12,4.844963608,-0.333534227,0.793590012,1.32E-20,4.84E-18,4.73E-17,PRPF4
ENSG00000183696,ENSG00000183696.13,5.843420429,0.422601901,1.340342684,1.29E-20,4.72E-18,4.73E-17,UPP1
ENSG00000102900,ENSG00000102900.12,5.421352147,-0.356537489,0.781036844,1.34E-20,4.90E-18,5.18E-17,NUP93
ENSG00000136193,ENSG00000136193.16,5.212240379,-0.578890895,0.669478256,1.69E-20,6.04E-18,5.18E-17,SCRN1
ENSG00000139679,ENSG00000139679.15,5.402217846,0.990289447,1.986583518,1.86E-20,6.56E-18,5.18E-17,LPAR6
ENSG00000204397,ENSG00000204397.7,5.036470271,0.689584011,1.612818409,1.59E-20,5.70E-18,5.18E-17,CARD16
ENSG00000104447,ENSG00000104447.12,6.660606276,0.329403644,1.25649388,4.25E-20,1.44E-17,2.60E-16,TRPS1
ENSG00000134333,ENSG00000134333.13,6.503552356,0.342336362,1.267808075,3.93E-20,1.34E-17,2.60E-16,LDHA
ENSG00000249437,ENSG00000249437.7,5.809307409,1.03225984,2.045225388,2.01E-20,7.01E-18,2.60E-16,NAIP
ENSG00000097033,ENSG00000097033.14,7.581787844,0.432040988,1.349140863,7.00E-20,2.31E-17,3.52E-16,SH3GLB1
ENSG00000104219,ENSG00000104219.12,6.789209769,0.551605207,1.46571561,9.21E-20,2.98E-17,3.52E-16,ZDHHC2
ENSG00000122641,ENSG00000122641.10,-0.146357093,1.428367726,2.691420342,8.36E-20,2.72E-17,3.52E-16,INHBA
ENSG00000166527,ENSG00000166527.7,4.57541569,0.993667195,1.991240108,6.27E-20,2.08E-17,3.52E-16,CLEC4D
ENSG00000234902,ENSG00000234902.6,0.653457526,-1.016087718,0.494455393,4.52E-20,1.52E-17,3.52E-16,
ENSG00000124172,ENSG00000124172.9,7.076831614,0.697992663,1.622246061,1.02E-19,3.26E-17,4.29E-16,ATP5F1E
ENSG00000038427,ENSG00000038427.15,10.52048626,0.652091327,1.571444508,1.61E-19,4.95E-17,4.69E-16,VCAN
ENSG00000171714,ENSG00000171714.10,1.548675989,1.009004709,2.012522217,1.43E-19,4.46E-17,4.69E-16,ANO5
ENSG00000197208,ENSG00000197208.5,5.673106884,0.811077263,1.754521058,1.16E-19,3.67E-17,4.69E-16,SLC22A4
