geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000154165,ENSG00000154165.4,2.607230847,0.135203769,1.098247922,0,0,5.52E-67,GPR15
ENSG00000253230,ENSG00000253230.8,-1.978111143,0.060190048,1.042603095,1.59E-71,2.76E-67,6.73E-29,MIR124-1HG
ENSG00000063438,ENSG00000063438.16,-0.18340677,0.053475605,1.037761993,1.94E-33,2.24E-29,5.30E-26,AHRR
ENSG00000111961,ENSG00000111961.17,3.039001764,0.040602383,1.028543195,1.53E-30,1.33E-26,1.53E-25,SASH1
ENSG00000167680,ENSG00000167680.15,-0.496088262,0.04941492,1.034845161,5.96E-30,4.13E-26,6.10E-25,SEMA6B
ENSG00000157168,ENSG00000157168.18,3.027533714,0.063122597,1.044724538,2.35E-29,1.36E-25,1.90E-24,NRG1
ENSG00000055732,ENSG00000055732.12,0.347068986,0.04879868,1.034403226,7.84E-29,3.88E-25,5.72E-24,MCOLN3
ENSG00000134755,ENSG00000134755.14,5.416596841,0.047164959,1.033232522,2.43E-28,1.06E-24,2.84E-23,DSC2
ENSG00000230817,ENSG00000230817.5,-1.173128829,0.041706126,1.029330389,1.06E-27,4.10E-24,4.06E-23,LINC01362
ENSG00000080822,ENSG00000080822.16,5.960291827,0.016450213,1.011467674,2.23E-27,7.75E-24,1.83E-19,CLDND1
ENSG00000250562,ENSG00000250562.1,-1.890974997,0.021591357,1.015078539,5.45E-24,1.71E-20,1.83E-19,RPL38P4
ENSG00000077063,ENSG00000077063.10,-0.534845644,0.046724521,1.032917136,1.06E-23,3.06E-20,9.88E-17,CTTNBP2
ENSG00000135898,ENSG00000135898.9,2.133606949,0.0322781,1.022625637,2.86E-21,7.63E-18,1.29E-15,GPR55
ENSG00000080819,ENSG00000080819.6,4.589406971,0.010470226,1.007283806,4.00E-20,9.92E-17,1.91E-15,CPOX
ENSG00000122420,ENSG00000122420.9,-0.679283417,0.051835724,1.036583062,1.03E-19,2.35E-16,1.91E-15,PTGFR
ENSG00000166503,ENSG00000166503.8,2.98165756,0.02956112,1.020701572,1.50E-19,3.25E-16,5.02E-15,HDGFL3
ENSG00000143344,ENSG00000143344.15,2.247159844,0.019873627,1.013870666,2.95E-19,6.01E-16,3.78E-13,RGL1
