geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000124225,ENSG00000124225.15,1.710456733,-0.022211066,0.984722368,1.84E-13,8.50E-09,6.18E-08,PMEPA1
ENSG00000152894,ENSG00000152894.14,2.663624239,-0.026083272,0.982082908,1.52E-12,3.52E-08,1.93E-07,PTPRK
ENSG00000164330,ENSG00000164330.16,2.699950018,-0.024722411,0.983009721,5.69E-12,8.77E-08,2.66E-07,EBF1
ENSG00000138670,ENSG00000138670.17,4.708143269,-0.01047068,0.992768551,1.15E-11,1.32E-07,1.31E-05,RASGEF1B
ENSG00000106537,ENSG00000106537.7,2.692968035,-0.017244032,0.988118497,1.00E-09,6.68E-06,1.69E-05,TSPAN13
ENSG00000227945,ENSG00000227945.1,-0.685415794,-0.023146002,0.984084427,2.96E-10,2.74E-06,1.69E-05,PTPRK-AS1
ENSG00000133424,ENSG00000133424.20,3.110608533,-0.020726793,0.985735991,1.03E-09,6.77E-06,2.09E-05,LARGE1
ENSG00000232022,ENSG00000232022.7,1.605911622,0.021651378,1.015120771,1.48E-09,8.53E-06,2.84E-05,FAAHP1
ENSG00000082293,ENSG00000082293.12,4.376983567,-0.025493212,0.982484661,5.22E-09,1.96E-05,4.40E-05,COL19A1
ENSG00000100448,ENSG00000100448.3,0.423036694,0.028456727,1.019920517,7.48E-09,2.36E-05,4.40E-05,CTSG
ENSG00000117322,ENSG00000117322.17,2.706940855,-0.022038817,0.984839945,3.81E-09,1.63E-05,4.40E-05,CR2
ENSG00000153253,ENSG00000153253.16,2.572094266,-0.028076125,0.980727254,2.09E-09,1.07E-05,4.40E-05,SCN3A
ENSG00000163520,ENSG00000163520.13,0.367952574,-0.02218229,0.984742009,6.01E-09,2.12E-05,4.40E-05,FBLN2
ENSG00000196781,ENSG00000196781.14,3.355555682,-0.013140228,0.990933241,4.16E-09,1.72E-05,4.40E-05,TLE1
ENSG00000251149,ENSG00000251149.1,1.244588522,-0.020582003,0.985834925,8.69E-09,2.52E-05,4.40E-05,MTND5P5
ENSG00000251513,ENSG00000251513.2,2.44845822,-0.023100762,0.984115286,8.88E-09,2.54E-05,4.40E-05,LIX1-AS1
ENSG00000091129,ENSG00000091129.19,0.402633969,-0.027590739,0.981057269,1.72E-08,3.63E-05,7.07E-05,NRCAM
ENSG00000120162,ENSG00000120162.9,3.386218475,-0.009660616,0.993326141,1.58E-08,3.48E-05,7.07E-05,MOB3B
ENSG00000184305,ENSG00000184305.14,3.226357122,-0.013912444,0.990402977,1.74E-08,3.65E-05,7.07E-05,CCSER1
ENSG00000198046,ENSG00000198046.11,0.982399496,-0.020139027,0.98613767,1.67E-08,3.58E-05,7.07E-05,ZNF667
ENSG00000224617,ENSG00000224617.1,-2.068000471,-0.000282933,0.999803905,9.70E-09,2.64E-05,7.07E-05,
ENSG00000278897,ENSG00000278897.1,3.50566882,-0.010723332,0.992594708,1.38E-08,3.25E-05,7.07E-05,
ENSG00000079819,ENSG00000079819.18,3.872399716,-0.010145632,0.992992253,3.04E-08,5.19E-05,0.000129661,EPB41L2
ENSG00000110987,ENSG00000110987.8,2.304215121,-0.01690443,0.988351122,2.46E-08,4.54E-05,0.000129661,BCL7A
ENSG00000119042,ENSG00000119042.16,0.189678423,0.018157261,1.012665187,2.59E-08,4.70E-05,0.000129661,SATB2
ENSG00000133169,ENSG00000133169.5,-1.260283936,0.018460919,1.012878355,1.89E-08,3.79E-05,0.000129661,BEX1
ENSG00000185112,ENSG00000185112.5,3.714364325,-0.010549705,0.992714173,2.86E-08,4.99E-05,0.000129661,FAM43A
ENSG00000177311,ENSG00000177311.11,6.986489148,0.007738432,1.005378284,3.29E-08,5.43E-05,0.000168512,ZBTB38
ENSG00000186417,ENSG00000186417.13,-1.493612814,0.015303982,1.010664375,3.92E-08,6.10E-05,0.000168512,GLDN
ENSG00000157734,ENSG00000157734.13,4.275683232,-0.015863163,0.989064723,4.86E-08,7.25E-05,0.000385905,SNX22
ENSG00000228495,ENSG00000228495.1,0.377806953,-0.026762084,0.98162093,4.02E-08,6.19E-05,0.000385905,LINC01013
ENSG00000118113,ENSG00000118113.11,2.470349615,0.032819899,1.023009753,5.69E-08,8.22E-05,0.000397859,MMP8
ENSG00000005381,ENSG00000005381.7,2.108905157,0.020491105,1.014304698,1.93E-07,0.000192035,0.000436361,MPO
ENSG00000005471,ENSG00000005471.15,2.961282575,-0.019396095,0.986645623,1.97E-07,0.000193855,0.000436361,ABCB4
ENSG00000112182,ENSG00000112182.14,5.783424473,-0.012658121,0.991264438,1.88E-07,0.000188828,0.000436361,BACH2
ENSG00000117009,ENSG00000117009.11,3.857003377,-0.010987149,0.992413215,1.33E-07,0.000153451,0.000436361,KMO
ENSG00000134909,ENSG00000134909.18,3.849026461,-0.008954808,0.993812224,7.51E-08,0.000102119,0.000436361,ARHGAP32
ENSG00000163534,ENSG00000163534.14,6.178360842,-0.020330397,0.98600687,1.25E-07,0.000147112,0.000436361,FCRL1
ENSG00000168952,ENSG00000168952.15,-0.962765714,0.017525221,1.012221639,1.18E-07,0.000141782,0.000436361,STXBP6
ENSG00000176092,ENSG00000176092.14,0.847581861,0.013441022,1.009360141,1.27E-07,0.000148285,0.000436361,CRYBG2
ENSG00000176293,ENSG00000176293.19,1.547785908,-0.01695202,0.988318519,1.98E-07,0.000194434,0.000436361,ZNF135
ENSG00000179869,ENSG00000179869.14,3.870787127,0.026436161,1.018493068,1.36E-07,0.000155139,0.000436361,ABCA13
ENSG00000198574,ENSG00000198574.5,3.951815502,-0.015806394,0.989103642,1.90E-07,0.000190459,0.000436361,SH2D1B
ENSG00000211947,ENSG00000211947.2,1.450117816,-0.021033045,0.985526763,1.42E-07,0.000159378,0.000436361,IGHV3-21
ENSG00000211949,ENSG00000211949.3,1.616755149,-0.020648421,0.985789541,1.74E-07,0.000180755,0.000436361,IGHV3-23
ENSG00000211966,ENSG00000211966.2,0.642057879,-0.020749314,0.985720603,6.55E-08,9.17E-05,0.000436361,IGHV5-51
ENSG00000230438,ENSG00000230438.6,3.130897514,-0.011295376,0.992201212,1.71E-07,0.000178867,0.000436361,SERPINB9P1
ENSG00000154655,ENSG00000154655.15,3.340876493,-0.010564455,0.992704024,2.07E-07,0.000199438,0.000485237,L3MBTL4
ENSG00000223558,ENSG00000223558.1,-1.63735415,-0.01286499,0.99112231,2.19E-07,0.000205933,0.000485237,TRIM60P17
ENSG00000086548,ENSG00000086548.8,0.407578672,0.024649408,1.017232462,2.50E-07,0.000223892,0.000646734,CEACAM6
ENSG00000283646,ENSG00000283646.1,0.899526208,0.025232159,1.017643439,2.28E-07,0.00021087,0.000646734,LINC02009
ENSG00000023909,ENSG00000023909.9,4.522613413,0.007100291,1.004933677,3.71E-07,0.000296796,0.000920294,GCLM
ENSG00000065618,ENSG00000065618.18,-0.179211204,0.022218509,1.015519899,3.20E-07,0.000268187,0.000920294,COL17A1
ENSG00000112812,ENSG00000112812.15,-0.969198782,0.01450834,1.01010715,4.37E-07,0.00033075,0.000920294,PRSS16
ENSG00000122641,ENSG00000122641.10,-0.164312753,0.022368846,1.015625727,4.15E-07,0.000320118,0.000920294,INHBA
ENSG00000124469,ENSG00000124469.11,1.947355215,0.025337477,1.01771773,4.03E-07,0.000313782,0.000920294,CEACAM8
ENSG00000152760,ENSG00000152760.9,-0.70752972,0.019097019,1.013325042,3.25E-07,0.000270943,0.000920294,DYNLT5
ENSG00000164402,ENSG00000164402.13,2.671047543,0.009352111,1.006503445,4.32E-07,0.000328089,0.000920294,SEPTIN8
ENSG00000168917,ENSG00000168917.8,0.140498127,0.020496335,1.014308375,3.29E-07,0.000273406,0.000920294,SLC35G2
ENSG00000211950,ENSG00000211950.2,-0.795884002,-0.017051889,0.988250107,4.33E-07,0.00032882,0.000920294,IGHV1-24
ENSG00000278160,ENSG00000278160.1,-2.067187671,0.000653583,1.000453132,2.56E-07,0.000227634,0.000920294,
ENSG00000156738,ENSG00000156738.17,6.600514184,-0.017787561,0.987746298,4.55E-07,0.000339353,0.001342581,MS4A1
ENSG00000002587,ENSG00000002587.9,0.804876982,-0.017959174,0.987628809,8.69E-07,0.000532093,0.001419181,HS3ST1
ENSG00000012124,ENSG00000012124.16,4.714854756,-0.018381095,0.987340016,8.09E-07,0.000508367,0.001419181,CD22
ENSG00000144218,ENSG00000144218.18,5.376219996,-0.015810642,0.98910073,8.84E-07,0.000537526,0.001419181,AFF3
ENSG00000145911,ENSG00000145911.5,1.633691251,-0.016181395,0.988846578,6.79E-07,0.000452582,0.001419181,N4BP3
ENSG00000153064,ENSG00000153064.11,5.674153469,-0.015071171,0.989607836,8.72E-07,0.000532961,0.001419181,BANK1
ENSG00000173391,ENSG00000173391.8,0.338015533,0.024645195,1.017229492,7.55E-07,0.000485869,0.001419181,OLR1
ENSG00000187912,ENSG00000187912.11,2.706097029,-0.018860129,0.987012233,6.96E-07,0.000460159,0.001419181,CLEC17A
ENSG00000197520,ENSG00000197520.10,1.516448471,-0.016515438,0.988617645,7.94E-07,0.000502304,0.001419181,FAM177B
ENSG00000205056,ENSG00000205056.8,3.812977255,-0.020448363,0.985926249,4.84E-07,0.000355277,0.001419181,LINC02397
ENSG00000211956,ENSG00000211956.2,1.553403637,-0.017475083,0.98796026,8.19E-07,0.000512289,0.001419181,IGHV4-34
ENSG00000214796,ENSG00000214796.8,-1.72031621,0.010307976,1.007170531,7.06E-07,0.000464804,0.001419181,TUBA5P
ENSG00000229989,ENSG00000229989.3,3.177332863,-0.009189551,0.993650532,8.22E-07,0.000513625,0.001419181,MIR181A1HG
ENSG00000240012,ENSG00000240012.1,-0.646823255,-0.016599247,0.988560216,8.52E-07,0.000525442,0.001419181,SLC9A9-AS1
ENSG00000257275,ENSG00000257275.6,1.30342252,-0.025020533,0.982806611,9.04E-07,0.000545063,0.001419181,
ENSG00000211962,ENSG00000211962.2,-0.15999527,-0.018447257,0.987294738,9.14E-07,0.000548714,0.001856984,IGHV1-46
ENSG00000174807,ENSG00000174807.3,-1.278925896,-0.016100998,0.988901684,9.54E-07,0.000565487,0.002247901,CD248
ENSG00000214140,ENSG00000214140.10,0.28150194,-0.017203894,0.988145988,1.04E-06,0.000604894,0.002247901,PRCD
ENSG00000234572,ENSG00000234572.1,0.129287693,-0.015873827,0.989057412,1.08E-06,0.000619037,0.002247901,LINC01800
ENSG00000130413,ENSG00000130413.15,0.376551064,-0.014890404,0.989731839,1.26E-06,0.000695898,0.00255174,STK33
ENSG00000134242,ENSG00000134242.15,5.888927982,0.007527494,1.005231297,1.10E-06,0.000627799,0.00255174,PTPN22
ENSG00000184349,ENSG00000184349.12,0.207491942,0.018694052,1.013042045,1.22E-06,0.000678016,0.00255174,EFNA5
ENSG00000260629,ENSG00000260629.1,-2.04306353,0.003080317,1.002137394,1.28E-06,0.000701383,0.00255174,BGLT3
ENSG00000081189,ENSG00000081189.15,6.801812539,-0.006936075,0.995203818,2.39E-06,0.00113613,0.004043981,MEF2C
ENSG00000081377,ENSG00000081377.16,3.962483831,0.008845466,1.006150044,1.82E-06,0.000927523,0.004043981,CDC14B
ENSG00000125249,ENSG00000125249.6,5.840962776,0.009767868,1.006793542,2.18E-06,0.001064204,0.004043981,RAP2A
ENSG00000135077,ENSG00000135077.8,5.258755812,-0.00709937,0.99509118,2.51E-06,0.001176131,0.004043981,HAVCR2
ENSG00000135318,ENSG00000135318.11,2.885272939,-0.017247438,0.988116164,1.87E-06,0.000946411,0.004043981,NT5E
ENSG00000140391,ENSG00000140391.14,4.881720441,-0.008188556,0.994340203,2.37E-06,0.001128201,0.004043981,TSPAN3
ENSG00000150093,ENSG00000150093.18,7.941692227,0.007046613,1.004896287,1.80E-06,0.000920432,0.004043981,ITGB1
ENSG00000164056,ENSG00000164056.10,0.770802143,-0.014512763,0.989990947,2.47E-06,0.001162751,0.004043981,SPRY1
ENSG00000164821,ENSG00000164821.4,1.961660461,0.028074888,1.01965061,1.57E-06,0.000827346,0.004043981,DEFA4
ENSG00000170801,ENSG00000170801.9,-1.263379436,0.014631514,1.010193395,2.30E-06,0.001106808,0.004043981,HTRA3
ENSG00000179088,ENSG00000179088.14,2.910868068,-0.011043012,0.992374788,2.61E-06,0.00120975,0.004043981,C12orf42
ENSG00000211943,ENSG00000211943.2,0.816557354,-0.01864206,0.987161435,2.14E-06,0.001050126,0.004043981,IGHV3-15
ENSG00000234607,ENSG00000234607.2,-1.960064753,0.005812368,1.004036953,1.66E-06,0.000863919,0.004043981,
ENSG00000255929,ENSG00000255929.5,-1.578562292,0.011585469,1.008062766,1.58E-06,0.000830834,0.004043981,PIWIL4-AS1
ENSG00000269553,ENSG00000269553.1,0.749639217,-0.017690241,0.987812931,1.32E-06,0.000718337,0.004043981,
ENSG00000078589,ENSG00000078589.12,5.390017166,-0.007459678,0.99484269,2.83E-06,0.001284647,0.004672231,P2RY10
ENSG00000141622,ENSG00000141622.13,2.281057933,-0.01598179,0.988983399,3.37E-06,0.001451422,0.004672231,ARK2C
ENSG00000147889,ENSG00000147889.17,1.643264423,0.009624551,1.006693532,2.99E-06,0.001335522,0.004672231,CDKN2A
ENSG00000157554,ENSG00000157554.18,0.410253562,0.017947953,1.012518279,3.20E-06,0.001400613,0.004672231,ERG
ENSG00000167483,ENSG00000167483.17,5.199659114,-0.016095701,0.988905315,3.11E-06,0.001371871,0.004672231,NIBAN3
ENSG00000167535,ENSG00000167535.7,1.306885041,0.011001323,1.007654685,3.18E-06,0.00139393,0.004672231,CACNB3
ENSG00000229474,ENSG00000229474.6,5.721817124,0.010124295,1.007042308,2.63E-06,0.001217184,0.004672231,PATL2
ENSG00000242399,ENSG00000242399.1,-2.059737891,0.004156294,1.002885077,3.38E-06,0.001456258,0.004672231,RPS20P23
ENSG00000000971,ENSG00000000971.15,3.107728233,0.018242005,1.012724672,1.04E-05,0.003349676,0.009158332,CFH
ENSG00000007312,ENSG00000007312.12,5.606689424,-0.01548217,0.989325954,7.41E-06,0.002676304,0.009158332,CD79B
ENSG00000012223,ENSG00000012223.12,4.218444624,0.025652804,1.017940195,3.92E-06,0.001642942,0.009158332,LTF
ENSG00000074966,ENSG00000074966.10,6.503279242,-0.00871824,0.993975199,4.44E-06,0.001815125,0.009158332,TXK
ENSG00000077327,ENSG00000077327.15,-0.760778462,-0.015182068,0.98953177,9.50E-06,0.003169366,0.009158332,SPAG6
ENSG00000101425,ENSG00000101425.12,1.791539552,0.018793239,1.013111695,7.50E-06,0.002698976,0.009158332,BPI
ENSG00000103528,ENSG00000103528.16,1.845836753,-0.012881059,0.991111271,8.37E-06,0.002913286,0.009158332,SYT17
ENSG00000103647,ENSG00000103647.12,-0.842010843,-0.016857306,0.988383405,7.74E-06,0.002758986,0.009158332,CORO2B
ENSG00000114315,ENSG00000114315.3,0.50305077,-0.014430368,0.990047489,4.07E-06,0.001693797,0.009158332,HES1
ENSG00000116574,ENSG00000116574.5,4.845059153,0.007902315,1.005492496,9.88E-06,0.003251377,0.009158332,RHOU
ENSG00000122986,ENSG00000122986.13,5.829720447,-0.007351236,0.994917471,3.79E-06,0.001596158,0.009158332,HVCN1
ENSG00000128218,ENSG00000128218.7,-0.432097016,-0.016352186,0.988729521,5.71E-06,0.0022106,0.009158332,VPREB3
ENSG00000129757,ENSG00000129757.12,3.917716257,-0.01593186,0.989017628,9.68E-06,0.00320929,0.009158332,CDKN1C
ENSG00000134755,ENSG00000134755.14,5.404966892,0.016232451,1.011315014,6.49E-06,0.002432132,0.009158332,DSC2
ENSG00000134986,ENSG00000134986.13,3.068708263,-0.006708652,0.995360711,7.18E-06,0.002615703,0.009158332,NREP
ENSG00000137101,ENSG00000137101.12,3.245811066,-0.013568062,0.990639421,1.01E-05,0.003307116,0.009158332,CD72
ENSG00000139174,ENSG00000139174.11,2.689598144,-0.011047157,0.992371937,7.32E-06,0.002651905,0.009158332,PRICKLE1
ENSG00000144407,ENSG00000144407.9,0.97260664,0.011274757,1.007845683,5.32E-06,0.002094058,0.009158332,PTH2R
ENSG00000149970,ENSG00000149970.14,3.117462875,-0.010278113,0.992901072,8.88E-06,0.003031571,0.009158332,CNKSR2
ENSG00000151320,ENSG00000151320.10,2.983109798,-0.015824665,0.989091116,8.07E-06,0.002841316,0.009158332,AKAP6
ENSG00000164047,ENSG00000164047.4,3.721929801,0.020547828,1.014344579,5.29E-06,0.00208455,0.009158332,CAMP
ENSG00000164070,ENSG00000164070.11,-0.995167666,0.013713927,1.009551093,9.48E-06,0.003164168,0.009158332,HSPA4L
ENSG00000166428,ENSG00000166428.12,3.236635726,-0.013006666,0.991024984,5.95E-06,0.002280949,0.009158332,PLD4
ENSG00000177455,ENSG00000177455.12,2.909004188,-0.017327496,0.988061333,6.91E-06,0.002544422,0.009158332,CD19
ENSG00000197353,ENSG00000197353.3,0.010704159,-0.018597826,0.987191703,9.74E-06,0.003221921,0.009158332,LYPD2
ENSG00000197705,ENSG00000197705.9,2.414651516,-0.017739288,0.987779349,7.51E-06,0.002702173,0.009158332,KLHL14
ENSG00000234614,ENSG00000234614.1,2.199043573,0.010859246,1.007555455,6.69E-06,0.002487256,0.009158332,C2CD4D-AS1
ENSG00000236283,ENSG00000236283.4,-0.30552873,-0.016544058,0.988598033,3.44E-06,0.001473113,0.009158332,
ENSG00000245694,ENSG00000245694.9,-1.475091189,0.012256319,1.008531621,4.94E-06,0.001977059,0.009158332,CRNDE
ENSG00000253924,ENSG00000253924.1,0.927340847,-0.017452217,0.987975919,4.91E-06,0.001966638,0.009158332,
ENSG00000254394,ENSG00000254394.1,-2.065005808,0.001534898,1.001064477,5.66E-06,0.002194938,0.009158332,
ENSG00000254709,ENSG00000254709.7,1.1863641,-0.021070451,0.985501211,1.00E-05,0.003275843,0.009158332,IGLL5
ENSG00000260103,ENSG00000260103.2,-0.636187709,-0.012308386,0.991504767,8.98E-06,0.0030543,0.009158332,
