geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000081189,ENSG00000081189.15,6.801408273,-0.007699341,0.994677439,1.38E-09,5.70E-05,6.46E-05,MEF2C
ENSG00000138670,ENSG00000138670.17,4.706513731,-0.007904606,0.994535928,3.37E-09,6.13E-05,6.46E-05,RASGEF1B
ENSG00000020577,ENSG00000020577.13,3.275217602,-0.011911355,0.991777668,4.50E-09,6.21E-05,0.000130272,SAMD4A
ENSG00000164330,ENSG00000164330.16,2.695882912,-0.017862557,0.987694953,9.45E-09,8.55E-05,0.000130272,EBF1
ENSG00000197520,ENSG00000197520.10,1.514988493,-0.016518368,0.988615638,1.14E-08,9.08E-05,0.000130272,FAM177B
ENSG00000153253,ENSG00000153253.16,2.568226965,-0.023027298,0.9841654,1.40E-08,9.62E-05,0.000202438,SCN3A
ENSG00000120053,ENSG00000120053.10,3.2563568,0.006645347,1.004616828,3.48E-08,0.000173615,0.000511553,GOT1
ENSG00000152556,ENSG00000152556.15,3.45658315,0.00673557,1.004679657,5.03E-08,0.000218029,0.000511553,PFKM
ENSG00000174080,ENSG00000174080.10,2.798070309,0.010802172,1.007515597,1.88E-08,0.000111361,0.000511553,CTSF
ENSG00000117009,ENSG00000117009.11,3.85570414,-0.009792675,0.99323522,5.59E-08,0.000231419,0.001066525,KMO
ENSG00000224617,ENSG00000224617.1,-2.068040816,-0.000227047,0.999842635,1.07E-07,0.000368786,0.001066525,
ENSG00000082293,ENSG00000082293.12,4.373137967,-0.019690135,0.986444553,1.92E-07,0.000534063,0.001222467,COL19A1
ENSG00000112655,ENSG00000112655.15,1.280367357,0.013673986,1.009523144,2.56E-07,0.000622598,0.001222467,PTK7
ENSG00000120162,ENSG00000120162.9,3.384815193,-0.007658548,0.994705564,2.29E-07,0.000587564,0.001222467,MOB3B
ENSG00000134323,ENSG00000134323.11,-1.675510203,0.010144659,1.007056523,1.46E-07,0.000453275,0.001222467,MYCN
ENSG00000251149,ENSG00000251149.1,1.241508799,-0.015988188,0.988979014,2.46E-07,0.000609787,0.001222467,MTND5P5
ENSG00000251513,ENSG00000251513.2,2.44514973,-0.018485116,0.98726883,1.08E-07,0.000370603,0.001222467,LIX1-AS1
ENSG00000211947,ENSG00000211947.2,1.447360085,-0.017759406,0.987765575,2.85E-07,0.000654558,0.001444019,IGHV3-21
ENSG00000115457,ENSG00000115457.9,-0.135454419,0.02272393,1.015875729,3.20E-07,0.000696108,0.001455829,IGFBP2
ENSG00000162924,ENSG00000162924.13,6.526421242,-0.003825603,0.997351806,3.67E-07,0.000746497,0.001455829,REL
ENSG00000253535,ENSG00000253535.5,0.816787512,-0.015010282,0.989649603,4.23E-07,0.000797341,0.001455829,ADAM7-AS1
ENSG00000152894,ENSG00000152894.14,2.658603522,-0.016183711,0.98884499,4.25E-07,0.000799707,0.001741841,PTPRK
ENSG00000070961,ENSG00000070961.15,8.005648349,-0.004824101,0.996661772,4.67E-07,0.000840669,0.00196306,ATP2B1
ENSG00000107968,ENSG00000107968.9,6.121692943,-0.004333443,0.997000793,6.81E-07,0.001024389,0.00196306,MAP3K8
ENSG00000184305,ENSG00000184305.14,3.224225107,-0.010623856,0.992663151,6.76E-07,0.001020815,0.00196306,CCSER1
ENSG00000211950,ENSG00000211950.2,-0.798048506,-0.014657779,0.98989144,5.21E-07,0.000893173,0.00196306,IGHV1-24
ENSG00000211962,ENSG00000211962.2,-0.162261129,-0.01613364,0.98887931,7.04E-07,0.001040354,0.00196306,IGHV1-46
ENSG00000026103,ENSG00000026103.21,6.493784038,-0.007527326,0.994796043,7.05E-07,0.001041096,0.002442358,FAS
ENSG00000105889,ENSG00000105889.14,0.054231858,-0.01523545,0.989495156,8.08E-07,0.001123303,0.002442358,STEAP1B
ENSG00000231711,ENSG00000231711.2,2.965956394,0.008172212,1.005680619,8.77E-07,0.00117371,0.002442358,LINC00899
ENSG00000033050,ENSG00000033050.7,4.248822987,0.004875892,1.003385428,1.36E-06,0.001543521,0.003643293,ABCF2
ENSG00000101000,ENSG00000101000.5,0.28714442,0.012064405,1.008397471,8.82E-07,0.001176702,0.003643293,PROCR
ENSG00000142798,ENSG00000142798.17,0.776668479,0.01437354,1.010012775,1.14E-06,0.001390875,0.003643293,HSPG2
ENSG00000162543,ENSG00000162543.5,2.509080871,0.012197581,1.008490561,1.45E-06,0.001604034,0.003643293,UBXN10
ENSG00000175556,ENSG00000175556.16,3.842649064,0.005772867,1.004009463,1.07E-06,0.001335096,0.003643293,LONRF3
ENSG00000186716,ENSG00000186716.20,5.985843625,0.008504315,1.00591215,1.35E-06,0.001539904,0.003643293,BCR
ENSG00000198399,ENSG00000198399.14,8.243769123,-0.003322408,0.997699732,1.61E-06,0.001694852,0.003643293,ITSN2
ENSG00000234572,ENSG00000234572.1,0.127271008,-0.013638842,0.990590821,1.30E-06,0.001501701,0.003643293,LINC01800
ENSG00000261997,ENSG00000261997.1,4.24772805,-0.009516309,0.993425504,1.57E-06,0.001670429,0.003643293,
ENSG00000137824,ENSG00000137824.15,4.421307177,0.005308203,1.003686143,1.87E-06,0.001860731,0.005282461,RMDN3
ENSG00000153064,ENSG00000153064.11,5.672131774,-0.012558917,0.991332602,2.20E-06,0.002063243,0.005282461,BANK1
ENSG00000156738,ENSG00000156738.17,6.598073204,-0.014622231,0.989915831,1.67E-06,0.001731685,0.005282461,MS4A1
ENSG00000163534,ENSG00000163534.14,6.175305297,-0.015743601,0.989146694,2.29E-06,0.002112795,0.005282461,FCRL1
ENSG00000248309,ENSG00000248309.7,2.875531306,-0.007758414,0.994636711,1.96E-06,0.001919171,0.005282461,MEF2C-AS1
ENSG00000104325,ENSG00000104325.6,6.845194953,-0.004192844,0.997097961,3.26E-06,0.002601113,0.005744087,DECR1
ENSG00000114450,ENSG00000114450.9,6.66751218,-0.006808631,0.995291735,3.25E-06,0.002598448,0.005744087,GNB4
ENSG00000128872,ENSG00000128872.9,6.853204177,-0.005620644,0.996111645,2.73E-06,0.002354145,0.005744087,TMOD2
ENSG00000148110,ENSG00000148110.15,6.674253261,-0.005945357,0.995887472,3.39E-06,0.00265707,0.005744087,MFSD14B
ENSG00000183960,ENSG00000183960.8,2.123299469,-0.016722768,0.988475581,3.03E-06,0.002496633,0.005744087,KCNH8
ENSG00000184226,ENSG00000184226.14,5.175978369,-0.017836502,0.987712791,2.81E-06,0.002391825,0.005744087,PCDH9
ENSG00000240671,ENSG00000240671.4,-0.269816743,-0.015211926,0.989511291,2.98E-06,0.002476374,0.005744087,IGKV1-8
ENSG00000253924,ENSG00000253924.1,0.925294558,-0.015618533,0.989232448,2.31E-06,0.002126216,0.005744087,
